Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00000,0.89,-2.15,-0.01,--,0.01,27875.00,4450.00,132.80,7800.00,2.95,3.00,0.00,0.00,3.00,3.00,38900,30.00,BANKNIFTY,0.00,--,3977.35,4008.78,3873.75,4100.65,0.00,0.00,0.00,0.00,--,0.99,-2.15,0.89,0.00000
0.00000,0.91,-2.17,-0.01,196.05,0.01,873050.00,95825.00,31.30,401900.00,3.05,3.10,0.00,0.00,3.05,3.05,39000,29.30,BANKNIFTY,3951.05,42.27,3877.35,3908.78,3859.40,3915.10,2050.00,0.00,0.00,0.00,0.48,0.99,-2.17,0.91,0.00000
0.00000,0.95,-2.22,-0.01,--,0.01,48525.00,3700.00,93.70,7650.00,3.10,3.20,0.00,0.00,3.15,3.15,39100,28.70,BANKNIFTY,0.00,--,3777.35,3808.78,3643.85,3938.45,0.00,0.00,0.00,0.00,--,0.99,-2.22,0.95,0.00000
0.00000,0.98,-2.24,-0.01,--,0.01,30700.00,-1475.00,-17.60,6925.00,3.20,3.25,0.00,0.00,3.20,3.20,39200,28.10,BANKNIFTY,0.00,--,3677.35,3708.78,3586.80,3794.95,0.00,0.00,0.00,0.00,--,0.99,-2.24,0.98,0.00000
0.00000,1.03,-2.29,-0.01,--,0.01,64525.00,12725.00,182.40,19700.00,3.30,3.35,0.00,0.00,3.30,3.30,39300,27.50,BANKNIFTY,0.00,--,3577.35,3608.78,3489.80,3698.15,0.00,0.00,0.00,0.00,--,0.99,-2.29,1.03,0.00000
0.00000,1.07,-2.33,-0.01,--,0.01,134675.00,-11900.00,-33.00,24150.00,3.40,3.45,0.00,0.00,3.40,3.40,39400,26.80,BANKNIFTY,0.00,--,3477.35,3508.78,3384.90,3600.85,0.00,0.00,0.00,0.00,--,0.99,-2.33,1.07,0.00000
0.00000,1.12,-2.38,-0.01,85.58,0.01,1045075.00,73500.00,15.90,537000.00,3.45,3.50,0.00,0.00,3.50,3.50,39500,26.20,BANKNIFTY,3425.00,16.22,3377.35,3408.78,3400.90,3406.90,6275.00,-3.10,-200.00,500.00,0.49,0.99,-2.38,1.12,0.00000
0.00000,1.20,-2.50,-0.01,1295,0.01,171950.00,17250.00,36.30,64750.00,3.65,3.75,0.00,0.00,3.75,3.75,39600,25.70,BANKNIFTY,3456.80,148.02,3277.35,3308.78,3211.45,3385.20,50.00,0.00,0.00,0.00,0.42,0.99,-2.50,1.20,0.00000
0.00000,1.27,-2.60,-0.01,638,0.01,158000.00,-2125.00,-6.20,31900.00,3.85,3.95,0.00,0.00,3.95,3.95,39700,25.20,BANKNIFTY,3357.60,148.82,3177.35,3208.78,3091.10,3336.00,50.00,0.00,0.00,0.00,0.42,0.99,-2.60,1.27,0.00000
0.00000,1.35,-2.69,-0.01,--,0.01,393850.00,-59050.00,-56.60,45250.00,4.05,4.15,0.00,0.00,4.15,4.15,39800,24.60,BANKNIFTY,0.00,--,3077.35,3108.78,2986.30,3233.45,0.00,0.00,0.00,0.00,--,0.99,-2.69,1.35,0.00000
