Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00000,2.71,-4.16,-0.02,86.29,0.02,1110750.00,124750.00,164.40,200625.00,7.75,7.85,0.00,0.00,7.80,7.80,40900,18.80,BANKNIFTY,2132.75,55.51,2038.80,2077.24,1988.90,2097.00,2325.00,2.20,50.00,250.00,0.47,0.98,-4.16,2.71,0.00000
0.00010,2.96,-4.40,-0.02,34.72,0.02,6065975.00,861725.00,100.40,1720225.00,8.50,8.55,0.00,0.00,8.50,8.50,41000,18.20,BANKNIFTY,1980.15,2.91,1938.80,1977.24,1978.40,1981.65,49550.00,-0.90,-475.00,19400.00,0.5,0.98,-4.40,2.96,0.00010
0.00010,3.23,-4.65,-0.02,108.02,0.02,1382050.00,139225.00,141.50,237650.00,9.20,9.25,0.00,0.00,9.25,9.25,41100,17.70,BANKNIFTY,1827.10,-50.14,1838.80,1877.24,1867.80,1889.15,2200.00,0.00,0.00,275.00,0.53,0.98,-4.65,3.23,0.00010
0.00010,3.54,-4.94,-0.03,67.89,0.03,2030850.00,246775.00,169.90,392050.00,10.15,10.20,0.00,0.00,10.15,10.15,41200,17.10,BANKNIFTY,1783.70,6.46,1738.80,1777.24,1782.05,1788.15,5775.00,3.60,200.00,3925.00,0.5,0.97,-4.94,3.54,0.00010
0.00010,3.95,-5.37,-0.03,29.64,0.03,1505325.00,109275.00,90.20,230475.00,11.50,11.55,0.00,0.00,11.50,11.50,41300,16.60,BANKNIFTY,1660.00,-17.24,1638.80,1677.24,1682.80,1689.65,7775.00,1.30,100.00,300.00,0.51,0.97,-5.37,3.95,0.00010
0.00010,4.39,-5.78,-0.04,99.05,0.04,2210875.00,298775.00,193.50,453175.00,12.90,12.95,0.00,0.00,12.90,12.90,41400,16.10,BANKNIFTY,1573.55,-3.69,1538.80,1577.24,1583.90,1592.50,4575.00,-1.10,-50.00,525.00,0.51,0.96,-5.78,4.39,0.00010
0.00010,4.93,-6.31,-0.04,18.93,0.04,6227600.00,675800.00,89.70,1429600.00,14.70,14.75,0.00,0.00,14.75,14.75,41500,15.70,BANKNIFTY,1488.40,11.16,1438.80,1477.24,1486.25,1488.60,75525.00,16.30,10600.00,27050.00,0.5,0.96,-6.31,4.93,0.00010
0.00010,5.51,-6.81,-0.05,111.05,0.05,3139550.00,317300.00,107.10,613575.00,16.70,16.80,0.00,0.00,16.70,16.70,41600,15.10,BANKNIFTY,1385.70,8.46,1338.80,1377.24,1389.40,1394.60,5525.00,-17.20,-1150.00,3075.00,0.5,0.95,-6.81,5.51,0.00010
0.00010,6.25,-7.52,-0.06,57.58,0.05,4202100.00,160850.00,40.20,561425.00,19.50,19.60,0.00,0.00,19.55,19.55,41700,14.70,BANKNIFTY,1271.75,-5.49,1238.80,1277.24,1292.35,1297.30,9750.00,2.60,250.00,1325.00,0.51,0.94,-7.52,6.25,0.00010
0.00020,7.12,-8.31,-0.07,69.76,0.06,6258300.00,392300.00,68.60,964425.00,23.00,23.15,0.00,0.00,23.05,23.05,41800,14.30,BANKNIFTY,1201.40,24.16,1138.80,1177.24,1196.30,1198.65,13825.00,9.90,1250.00,10525.00,0.49,0.93,-8.31,7.12,0.00020
0.00020,8.16,-9.30,-0.08,35.44,0.08,5475125.00,254200.00,98.90,511250.00,27.70,27.80,0.00,0.00,27.75,27.75,41900,13.90,BANKNIFTY,1107.20,29.96,1038.80,1077.24,1101.75,1104.05,14425.00,16.80,2075.00,8850.00,0.49,0.92,-9.30,8.16,0.00020
