Date,Open,High,Low,Close,Close-Open,Absolute(Close-Open),,,,,
11-May-23,18357.8,18389.7,18270.4,18297,-60.8,60.8,,,,Mean,17708.65402
10-May-23,18313.6,18326.75,18211.95,18315.1,1.5,1.5,,,,Std,366.4423869
09-May-23,18303.4,18344.2,18229.65,18265.95,-37.45,37.45,,,,,
08-May-23,18120.6,18286.95,18100.3,18264.4,143.8,143.8,,,,Abs Mean,85.61954023
05-May-23,18117.3,18216.95,18055.45,18069,-48.3,48.3,,,,Abs Std,62.36842811
04-May-23,18081,18267.45,18066.7,18255.8,174.8,174.8,,,,,
03-May-23,18113.8,18116.35,18042.4,18089.85,-23.95,23.95,,,,VIX ,0.1321
02-May-23,18124.8,18180.25,18101.75,18147.65,22.85,22.85,,,,,
28-Apr-23,17950.4,18089.15,17885.3,18065,114.6,114.6,,,,,
27-Apr-23,17813.1,17931.6,17797.9,17915.05,101.95,101.95,,,,,
26-Apr-23,17767.3,17827.75,17711.2,17813.6,46.3,46.3,,,,,
25-Apr-23,17761.55,17807.45,17716.85,17769.25,7.7,7.7,,,,,
24-Apr-23,17707.55,17754.5,17612.5,17743.4,35.85,35.85,,,,,
21-Apr-23,17639.75,17663.2,17553.95,17624.05,-15.7,15.7,,,,,
20-Apr-23,17638.6,17684.45,17584.35,17624.45,-14.15,14.15,,,,,
19-Apr-23,17653.35,17666.15,17579.85,17618.75,-34.6,34.6,,,,,
18-Apr-23,17766.6,17766.6,17610.2,17660.15,-106.45,106.45,,,,,
17-Apr-23,17863,17863,17574.05,17706.85,-156.15,156.15,,,,,
13-Apr-23,17807.3,17842.15,17729.65,17828,20.7,20.7,,,,,
12-Apr-23,17759.55,17825.75,17717.25,17812.4,52.85,52.85,,,,,
11-Apr-23,17704.8,17748.75,17655.15,17722.3,17.5,17.5,,,,,
10-Apr-23,17634.9,17694.1,17597.95,17624.05,-10.85,10.85,,,,,
06-Apr-23,17533.85,17638.7,17502.85,17599.15,65.3,65.3,,,,,
05-Apr-23,17422.3,17570.55,17402.7,17557.05,134.75,134.75,,,,,
03-Apr-23,17427.95,17428.05,17312.75,17398.05,-29.9,29.9,,,,,
31-Mar-23,17210.35,17381.6,17204.65,17359.75,149.4,149.4,,,,,
29-Mar-23,16977.3,17126.15,16940.6,17080.7,103.4,103.4,,,,,
28-Mar-23,17031.75,17061.75,16913.75,16951.7,-80.05,80.05,,,,,
27-Mar-23,16984.3,17091,16918.55,16985.7,1.4,1.4,,,,,
24-Mar-23,17076.2,17109.45,16917.35,16945.05,-131.15,131.15,,,,,
23-Mar-23,17097.4,17205.4,17045.3,17076.9,-20.5,20.5,,,,,
22-Mar-23,17177.45,17207.25,17107.85,17151.9,-25.55,25.55,,,,,
21-Mar-23,17060.4,17127.7,17016,17107.5,47.1,47.1,,,,,
20-Mar-23,17066.6,17066.6,16828.35,16988.4,-78.2,78.2,,,,,
17-Mar-23,17111.8,17145.8,16958.15,17100.05,-11.75,11.75,,,,,
16-Mar-23,16994.65,17062.45,16850.15,16985.6,-9.05,9.05,,,,,
15-Mar-23,17166.45,17211.35,16938.9,16972.15,-194.3,194.3,,,,,
14-Mar-23,17160.55,17224.65,16987.1,17043.3,-117.25,117.25,,,,,
13-Mar-23,17421.9,17529.9,17113.45,17154.3,-267.6,267.6,,,,,
10-Mar-23,17443.8,17451.5,17324.35,17412.9,-30.9,30.9,,,,,
09-Mar-23,17772.05,17772.35,17573.6,17589.6,-182.45,182.45,,,,,
08-Mar-23,17665.75,17766.5,17602.25,17754.4,88.65,88.65,,,,,
06-Mar-23,17680.35,17799.95,17671.95,17711.45,31.1,31.1,,,,,
03-Mar-23,17451.25,17644.75,17427.7,17594.35,143.1,143.1,,,,,
02-Mar-23,17421.5,17445.8,17306,17321.9,-99.6,99.6,,,,,
01-Mar-23,17360.1,17467.75,17345.25,17450.9,90.8,90.8,,,,,
28-Feb-23,17383.25,17440.45,17255.2,17303.95,-79.3,79.3,,,,,
27-Feb-23,17428.6,17451.6,17299,17392.7,-35.9,35.9,,,,,
24-Feb-23,17591.35,17599.75,17421.8,17465.8,-125.55,125.55,,,,,
23-Feb-23,17574.65,17620.05,17455.4,17511.25,-63.4,63.4,,,,,
22-Feb-23,17755.35,17772.5,17529.45,17554.3,-201.05,201.05,,,,,
21-Feb-23,17905.8,17924.9,17800.3,17826.7,-79.1,79.1,,,,,
20-Feb-23,17965.55,18004.35,17818.4,17844.6,-120.95,120.95,,,,,
17-Feb-23,17974.85,18034.25,17884.6,17944.2,-30.65,30.65,,,,,
16-Feb-23,18094.75,18134.75,18000.65,18035.85,-58.9,58.9,,,,,
15-Feb-23,17896.6,18034.1,17853.8,18015.85,119.25,119.25,,,,,
14-Feb-23,17840.35,17954.55,17800.05,17929.85,89.5,89.5,,,,,
13-Feb-23,17859.1,17880.7,17719.75,17770.9,-88.2,88.2,,,,,
10-Feb-23,17847.55,17876.95,17801,17856.5,8.95,8.95,,,,,
09-Feb-23,17885.5,17916.9,17779.8,17893.45,7.95,7.95,,,,,
08-Feb-23,17750.3,17898.7,17744.15,17871.7,121.4,121.4,,,,,
07-Feb-23,17790.1,17811.15,17652.55,17721.5,-68.6,68.6,,,,,
06-Feb-23,17818.55,17823.7,17698.35,17764.6,-53.95,53.95,,,,,
03-Feb-23,17721.75,17870.3,17584.2,17854.05,132.3,132.3,,,,,
02-Feb-23,17517.1,17653.9,17445.95,17610.4,93.3,93.3,,,,,
01-Feb-23,17811.6,17972.2,17353.4,17616.3,-195.3,195.3,,,,,
31-Jan-23,17731.45,17735.7,17537.55,17662.15,-69.3,69.3,,,,,
30-Jan-23,17541.95,17709.15,17405.55,17648.95,107,107,,,,,
27-Jan-23,17877.2,17884.75,17493.55,17604.35,-272.85,272.85,,,,,
25-Jan-23,18093.35,18100.6,17846.15,17891.95,-201.4,201.4,,,,,
24-Jan-23,18183.95,18201.25,18078.65,18118.3,-65.65,65.65,,,,,
23-Jan-23,18118.45,18162.6,18063.45,18118.55,0.1,0.1,,,,,
20-Jan-23,18115.6,18145.45,18016.2,18027.65,-87.95,87.95,,,,,
19-Jan-23,18119.8,18155.2,18063.75,18107.85,-11.95,11.95,,,,,
18-Jan-23,18074.3,18183.75,18032.45,18165.35,91.05,91.05,,,,,
17-Jan-23,17922.8,18072.05,17886.95,18053.3,130.5,130.5,,,,,
16-Jan-23,18033.15,18049.65,17853.65,17894.85,-138.3,138.3,,,,,
13-Jan-23,17867.5,17999.35,17774.25,17956.6,89.1,89.1,,,,,
12-Jan-23,17920.85,17945.8,17761.65,17858.2,-62.65,62.65,,,,,
11-Jan-23,17924.25,17976.35,17824.35,17895.7,-28.55,28.55,,,,,
10-Jan-23,18121.3,18127.6,17856,17914.15,-207.15,207.15,,,,,
09-Jan-23,17952.55,18141.4,17936.15,18101.2,148.65,148.65,,,,,
06-Jan-23,18008.05,18047.4,17795.55,17859.45,-148.6,148.6,,,,,
05-Jan-23,18101.95,18120.3,17892.6,17992.15,-109.8,109.8,,,,,
04-Jan-23,18230.65,18243,18020.6,18042.95,-187.7,187.7,,,,,
03-Jan-23,18163.2,18251.95,18149.8,18232.55,69.35,69.35,,,,,
02-Jan-23,18131.7,18215.15,18086.5,18197.45,65.75,65.75,,,,,
