Date,Open,High,Low,Close,Close-Open,Absolute(Close-Open),,Mean - (Close),41465.32069,
06-Feb-23,41530.15,41724.5,41261.2,41374.65,-155.5,155.5,,,,
03-Feb-23,41019.35,41539.95,40609.75,41499.7,480.35,480.35,,,,
02-Feb-23,39943.35,40757.6,39761.45,40669.3,725.95,725.95,,,,
01-Feb-23,41115,42015.65,39490.5,40513,-602,602,,,,
31-Jan-23,40563.85,40811.65,40167.7,40655.05,91.2,91.2,,,,
30-Jan-23,39856.15,40789.55,39419.8,40387.45,531.3,531.3,,,,
27-Jan-23,41382.35,41417.9,40148.8,40345.3,-1037.05,1037.05,,,,
25-Jan-23,42703.6,42733.05,41540.3,41647.65,-1055.95,1055.95,,,,
24-Jan-23,42994.45,43078.9,42615.65,42733.45,-261,261,,,,
23-Jan-23,42891.45,43005.85,42727.7,42821.25,-70.2,70.2,,,,
20-Jan-23,42516.05,42709.2,42366.15,42506.8,-9.25,9.25,,,,
19-Jan-23,42416.3,42506.25,42234.9,42328.85,-87.45,87.45,,,,
18-Jan-23,42271.8,42555.9,42119.65,42458,186.2,186.2,,,,
17-Jan-23,42241.2,42383.8,41861.1,42235.05,-6.15,6.15,,,,
16-Jan-23,42622.5,42715.65,42066.55,42167.55,-454.95,454.95,,,,
13-Jan-23,42171.25,42453.95,41885.6,42371.25,200,200,,,,
12-Jan-23,42238.5,42343.5,41742.95,42082.25,-156.25,156.25,,,,
11-Jan-23,42071.85,42318,41729,42232.7,160.85,160.85,,,,
10-Jan-23,42642,42674.25,41835.75,42014.75,-627.25,627.25,,,,
09-Jan-23,42404.85,42716.8,42186.55,42582.75,177.9,177.9,,,,
06-Jan-23,42649.7,42685.9,41877,42188.8,-460.9,460.9,,,,
05-Jan-23,43073.05,43137.55,42298.6,42608.7,-464.35,464.35,,,,
04-Jan-23,43417.5,43578.4,42858.65,42958.8,-458.7,458.7,,,,
03-Jan-23,43151.45,43482.8,43148.45,43425.25,273.8,273.8,,,,
02-Jan-23,43038.25,43382.75,42961.75,43203.1,164.85,164.85,,,,
